"IN","TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
3206,3,13.9,0.27,0.6,-54.2,-0.81,36,134,0.97054,2.26,0.55,11,-1,8,2
3209,3,6,1.72,-1.14,-27.7,-0.399,36,174,1.03561,3.14,0.5,9,-1,7,2
3210,2,12,0.6,0.08,2.6,0.592,3,-237,1.03191,1.99,-0.05,7.8,0,9,1
3217,4,12.9,-0.84,0.43,43.6,0.057,32,181,0.98602,3.41,0.51,10.5,0,7,3
3220,4,12.5,1.21,1.77,-52.9,0.593,47,-94,1.04535,4.32,-1.24,13.4,0,7,3
3228,2,5.9,1.36,0.28,1.9,-1.083,-168,78,0.9918,2.52,-0.47,17,-1,6,1
3232,2,27.9,-0.3,-0.69,-12.1,-0.102,-199,276,1.02745,3.1,0.76,9.2,0,7,1
3239,3,-12,0.635,-1.59,1.8,0.97,183,218,0.97322,2.39,0.69,9.3,0,10,2
3243,3,7.2,0.5,-1.04,0.8,0.555,132,-52,0.9932,4.7,-0.48,14.3,0,8,2
3245,2,3,-0.26,0.52,47.1,0.219,312,382,0.97551,3.08,0.56,8.7,0,8,1
3246,4,11.8,0.24,0.33,21.1,0.613,45,101,1.01842,3.8,0.42,11.7,1,9,2
3251,5,7.3,-0.18,0.41,14.6,0.048,73,223,0.99863,4.01,0.71,9.4,0,8,4
3253,5,6.2,1.02,-0.01,8,0.417,39,-224,0.9931,2.66,1.91,10.8,0,7,4
3257,4,7.9,0.29,0.16,-31.8,-0.507,-23,177,0.99706,3.13,0.36,10.6,0,10,3
3260,3,10.7,-0.12,-0.68,-46.95,0.456,-50,276,1.01888,1.83,0.32,8,0,9,2
3261,2,0.4,0.22,2.13,26.9,0.042,301,168,1.02009,2.47,0.36,20.5,1,7,1
3263,5,6.6,1.06,-0.36,-3.3,0.042,249,101,0.99195,4.08,0.41,10.5,1,7,3
3278,4,14,0.17,0.76,-47.5,-0.213,-77,122,0.90113,2.26,0.52,8.5,0,7,2
3281,2,6.4,-1.645,-1.07,3.3,-0.208,-338,547,0.99482,3.42,-0.35,13.7,0,6,1
3283,5,7.1,0.38,0.71,3.5,-0.031,38,-489,0.98872,4.18,0.47,12.2,1,7,3
3290,1,3.5,-0.43,0.49,1.3,1.176,27,372,0.9936,2.49,-1.01,10.2,-1,9,1
3297,3,9,1.48,1.84,23.8,-0.287,20,-256,1.0262,3.16,-0.04,7.1,0,8,2
3304,3,12.5,0.4,1.08,2.1,0.339,15,230,0.998,2.2,0.81,9.7,0,12,3
3305,3,14,0.42,0.27,2,0.142,252,55,1.03355,3.78,0.64,12.3,-1,6,2
3307,5,7.5,1.46,1.64,5.8,0.564,23,401,1.03148,3.18,0.59,10.5,2,8,2
3308,2,7.3,0.42,-1.35,2.7,0.084,-219,-250,0.98045,3.21,-0.73,6.5,1,8,1
3313,2,19.3,0.52,1.7,2.3,-0.338,8,38,0.98533,4.6,0.61,9.5,1,8,1
3314,2,10.4,-1.16,0.14,51.4,0.06,12,113,0.99344,3.32,0.34,5,0,7,1
3317,6,7.5,2.34,2.11,125.55,-0.363,31,159,0.96564,4.56,0.44,7.8,2,9,3
3348,2,8,-0.81,-0.89,2,0.108,133,-341,0.99735,3.22,0.61,10,1,9,1
3350,1,-2.9,0.05,0.32,4.6,0.041,-220,370,0.99184,3.04,0.03,13.7,-1,9,1
3359,4,4.9,-1.365,0.34,1,0.068,32,143,0.96046,3.24,-0.06,16.7,0,6,2
3367,4,13.4,0.14,-0.07,8.8,0.362,83,-103,1.01471,4.27,0.55,8.5,0,10,3
3376,2,10.8,-0.68,0.37,23.5,0.073,79,200,1.03375,3.29,-0.88,11.9,0,7,1
3378,3,7.9,0.58,-1.55,17.4,0.442,23,94,0.99686,3.49,0.58,9.5,-1,9,3
3384,4,6.5,1.69,-0.68,15.3,0.038,-110,107,1.00949,3.32,0.41,11.6,0,7,2
3386,2,7.3,0.56,0,-55.8,-0.46,6,185,0.9948,3.59,-0.45,13.3,0,7,1
3387,4,5.4,-0.18,0,1.2,0.041,-167,152,1.02722,3.09,3.89,12.5,0,6,2
3388,3,6.9,0.3,0.49,1.8,0.057,25,156,1.03915,4.61,0.63,12.9,-1,8,2
3390,4,6.6,1.57,0.25,-50.5,0.038,-237,121,1.01841,0.93,0.71,12.6,1,7,2
3391,5,6.2,0.39,0.09,-56.4,0.393,15,26,1.04183,3.57,0.63,8.2,0,7,4
3396,2,11,1.18,0.44,2.2,-0.092,247,24,1.00005,1.84,1.72,9.2,-1,16,2
3398,4,5.9,0.36,0.04,-18.1,0.046,187,87,0.9934,3.22,0.51,5.7,0,6,2
3404,5,6.4,-0.425,0.12,1.1,0.035,269,491,0.96094,4.1,0.09,13.6,0,7,4
3406,5,4.1,0.29,0.41,10.8,0.048,22,348,0.98441,1.9,0.71,13.16666667,1,7,3
3407,3,6,-0.36,0.15,61.1,0.551,-143,403,0.99571,3.05,1.67,9.1,1,6,1
3414,5,8.8,-0.29,-0.79,10.8,0.285,415,56,1.03674,2.56,-0.65,5.2,1,10,3
3419,3,6.7,0.15,0.79,7.9,0.059,284,81,0.99512,4.05,-0.17,5.1,-1,7,2
3423,2,6.8,0.27,-1.21,58.2,-0.11,-183,44,1.04811,3.15,1.91,7.8,-1,7,1
3427,2,8.1,0.245,0.33,1.1,0.049,-346,318,1.01675,3.13,0.42,13.2,0,6,1
3432,3,11.8,0.33,-0.55,3.4,0.093,54,325,0.97515,2.96,0.76,10.7,0,13,2
3434,2,6.4,0.18,0.32,31.5,-0.33,24,30,0.9963,3.35,2.85,9.4,0,7,1
3438,3,14.8,0.59,-2.33,56.3,-0.47,3,16,0.9962,3.42,0.92,17.2,0,9,2
3442,2,9.1,1.465,0,11.3,0.093,269,-222,0.98526,3.36,0.92,3.6,0,10,1
3443,4,6.6,0.62,0.2,-10,0.046,-53,-84,1.01832,3.17,-0.95,9.3,0,7,2
3448,3,4.4,0.84,0.54,2.2,0.587,278,377,0.9984,3.08,-0.74,9.3,0,12,2
3456,3,17.4,0.85,0.33,1.9,0.857,37,190,0.98945,3.26,0.58,9.7,-1,6,2
3464,6,7,0.29,-0.54,1.6,-0.882,-182,-235,1.02097,3.26,0.47,13.6,1,8,4
3470,4,-1.1,1.08,0.02,-61.2,0.049,-273,-26,1.06081,3.05,0.63,9.95,0,7,2
3475,3,7.7,0.28,0.33,2.4,0.053,-25,175,0.992,3.2,-2.43,7.9,0,8,2
3477,3,7.2,-0.13,-1.28,43.9,-0.504,80,435,0.96192,3.13,-0.21,25.2,-1,8,3
3490,2,18.6,1.59,-0.76,-57.1,-1.124,34,299,0.9964,3.36,-0.98,10,0,8,1
3493,3,11.2,-1.22,-1.07,2.4,0.042,30,382,0.994,3.43,0.61,10.5,0,8,2
3502,3,6.8,0.22,-1.27,10.6,0.07,161,188,0.99654,2.87,1.58,6,-1,7,2
3508,4,6.6,0.26,3.21,-54,0.038,18,21,1.01298,1.84,-0.98,7.5,0,7,3
3516,3,28.1,0.18,0.81,-39.4,0.057,17,149,1.04589,3,-0.14,15.8,-1,7,2
3517,5,8.9,0.205,0.13,3.45,0.047,41,152,1.03686,3.97,0.52,13.8,1,10,3
3525,2,-1.3,-2.12,-0.88,-4.1,0.066,54,207,0.98366,2.91,0.52,9.8,0,7,1
3532,3,28.6,0.655,0.88,92.5,0.511,15,113,0.98617,3.17,-0.92,9.8,0,9,2
3535,4,-0.9,0.56,3.15,3.1,0.428,28,157,0.994,3.13,0.44,12.1,0,7,2
3536,4,13.5,0.39,0.2,1.2,0.041,35,532,0.99225,1.99,-1.32,11,1,7,2
3540,3,6.8,1.09,-1.06,-12.5,0.404,225,172,0.97741,3.29,0.55,11.6,-1,7,2
3547,2,-5.7,0.21,0.26,-35.4,0.061,-34,198,0.99918,3.11,1.59,9.8,0,7,1
3550,3,7.1,-0.1,0.41,3.1,0.018,15,37,0.99004,3.02,0.86,11.9,-1,8,3
3557,1,7.1,-0.99,-0.35,59.6,0.215,-213,-68,1.02786,3.88,1.05,11.1,-1,8,1
3562,1,13.8,-0.16,0.17,31.9,0.065,236,24,1.00728,4.49,0.68,11.05,-1,8,1
3563,3,7.7,0.28,0.29,4.3,-0.192,190,392,0.9939,2.06,1.31,10.2,-1,8,2
3564,3,2.2,0.55,-0.04,-8.3,0.323,306,201,0.99253,2.38,1.93,11.4,-1,8,3
3570,2,6,-0.65,0.05,-24.5,0.066,344,17,1.03209,3.52,1.04,4.3,1,7,1
3573,2,8.5,1.48,0.74,-22.9,0.047,603,-180,0.9928,3.39,1.67,11.2,1,9,1
3577,2,8.7,-0.43,0.42,-14.4,0.053,27,114,0.97125,4.16,-0.14,10,1,9,1
3579,3,7,0.44,-0.08,-25.6,-0.917,-68,-78,1.02601,3.13,-0.73,9.8,-1,8,3
3581,3,13.5,0.49,-0.07,2.6,0.068,4,53,0.95126,3.3,0.47,-3,-1,8,2
3587,3,6.9,0.87,0.79,-110,0.402,-338,78,0.9898,3.12,0.31,12.5,0,8,2
3602,3,6,0.58,1.96,-8.9,-0.126,29,200,0.9912,1.86,0.71,12.3,-1,7,3
3609,3,5.6,-0.25,1.66,-23.7,0.022,163,-134,1.04348,3.29,1.06,12.2,0,9,2
3612,4,0.5,0.57,1.62,2,0.104,471,953,0.9963,2.09,1.26,10.1,1,11,2
3621,2,7.4,1.34,1.71,3.7,0.399,544,73,0.9915,3.06,0.45,11.4,1,8,1
3642,3,0,1.47,-1.04,3.8,-0.201,33,138,0.992,3.05,-1.22,11.2,1,6,1
3647,3,2.3,0.32,0.14,45.2,0.21,83,180,0.9961,1.89,0.47,8.8,0,8,2
3649,2,6.4,0.24,1.09,5.8,0.621,108,120,0.9942,2.82,0.98,10.5,0,7,1
3654,2,2.6,0.29,-0.38,2.2,0.05,216,-344,1.00342,3.47,2.27,10.3,0,10,1
3660,4,6.6,0.24,-0.4,15.8,0.035,326,110,1.03781,3.24,-0.47,8.15,1,7,2
3665,4,5.9,1.18,0.79,2.4,0.03,-175,-245,1.03173,4.45,-0.82,19.6,0,6,3
3669,3,12.7,1.23,-0.15,9.5,-0.56,15,130,1.09391,3.1,0.44,7.6,0,8,2
3673,4,8.2,0.37,0.25,-55.5,-0.286,196,84,0.9909,3.85,0.28,11.7,0,7,2
3675,4,16,0.5,1.34,4.1,0.036,193,131,0.9902,3.7,-0.87,6.3,0,7,3
3678,3,-7.9,0.21,-2.25,19.9,0.057,168,327,0.9774,3.89,0.59,12.3,0,8,2
3680,2,6.2,-0.37,-1.39,2.2,-0.673,19,-96,0.9946,2.91,0.9,9.4,1,7,1
3686,6,7.6,0.08,-0.47,-33.1,-0.026,7,70,0.9966,3.36,0.99,9.4,2,9,3
3693,4,5.9,-0.29,0.23,36.1,0.035,20,-297,0.97677,3.14,1.37,16,1,7,2
3710,2,-0.4,0.22,-0.44,-100.4,0.222,29,93,0.9927,4.07,1.66,8.3,0,8,1
3713,4,8.6,0.45,0.5,44.9,-0.381,24,31,0.98862,2.94,0.38,13.4,0,8,3
3718,5,-8.5,0.22,0.33,2,-0.272,-30,-114,0.95462,3,0.55,11.4,1,8,3
3725,3,9.5,0.32,1.19,2.7,0.018,109,516,0.99067,3.67,2.5,11.7,-1,6,2
3726,2,7.7,0.39,0.34,4.7,0.056,331,119,0.97866,3.12,1.57,10.2,1,8,1
3747,2,13.9,0.23,0.84,24.4,0.037,181,141,1.04695,3.09,0.32,13.7,0,10,1
3753,2,0.1,0.31,0.36,4.8,-0.535,245,142,0.9925,3.01,-0.6,15,0,9,1
3754,5,5.8,0.34,0.37,1.8,0.383,70,170,0.99035,3.38,1.59,11.8,0,6,4
3760,5,-8.1,-1.02,0.25,59.8,-1.125,21,124,0.99362,3.06,0.38,9.9,0,7,4
3763,2,6.1,1.32,0.3,1.2,-0.422,36,-81,0.991,4.24,0.56,16.8,-1,7,1
3765,4,7.2,0.58,0.27,5.8,0.032,40,-88,1.01089,3.17,0.53,12.8,0,8,3
3769,5,17,0.2,1.27,1.4,0.045,21,318,0.98363,3.34,0.46,10,0,8,4
3771,3,7.1,0.28,-0.56,37.2,0.84,48,184,1.04097,3.9,-0.18,9.4,0,8,2
3784,2,3.1,0.42,0.21,-102.8,0.092,33,-762,0.99823,4.19,2.21,4.9,1,9,1
3787,4,0,-0.35,0.73,4.1,0.074,27,85,0.99706,5.42,0.6,3.7,1,8,2
3794,4,7.2,0.24,1.83,13.9,-0.496,52,106,0.99269,3.69,0.77,10.8,0,8,3
3796,3,14.7,0.26,0.4,1.1,0.042,9,60,0.97693,2.34,2.25,7.6,0,8,2
3798,4,18.5,1.1,0.24,31.6,0.484,56,171,0.94961,4.21,-0.52,9.8,1,7,2
3809,4,1.1,0.665,0.04,56.8,0.031,48,71,1.00808,3.94,0.32,15.9,0,7,2
3812,5,7,-0.97,2.37,8.7,0.045,-351,222,1.02857,4.13,0.54,10.7,1,7,3
3819,2,6.9,0.3,-0.63,-52.8,0.048,10,147,0.99059,3.04,0.46,11.6,-2,8,2
3828,4,6.8,0.19,-0.3,3.8,0.065,-221,-291,0.99332,3.12,0.44,10.7,0,7,3
3831,5,6.4,0.32,0.26,131.6,-0.404,53,-36,1.01666,2.49,0.5,16,1,7,3
3833,2,7.5,-0.9,0.23,27.2,0.054,28,278,1.02535,3.18,-1.33,6.6,1,8,1
3837,5,6.1,0.9,-1.76,60.1,0.046,39,151,0.9984,2.87,2.04,10.6,1,7,3
3839,1,5.2,0.325,0.16,2,-0.961,13,49,0.9962,3.38,0.57,9.7,-1,9,1
3843,4,4.2,0.215,0.23,96,-0.293,83,112,0.99688,3.46,0.09,5.1,0,5,3
3846,4,12.8,0.92,1.39,4.2,0.627,-128,-141,0.98898,2.81,0.59,13.1,0,7,2
3854,5,-0.8,0.43,0.47,-18.3,0.068,171,-213,0.96654,3,0.45,10.9,1,8,3
3861,3,14.2,0.58,0.01,-35.2,-0.003,-87,18,0.99568,4.29,0.41,10.5,0,8,2
3864,3,7.7,0.23,0.08,2.5,0.428,14,46,0.96815,2.9,0.66,10.6,0,8,2
3868,2,21.4,0.26,1.37,2.6,0.384,-375,129,0.9902,3.2,0.72,11.5,0,6,1
3869,5,7,-1.01,0.52,-60.3,-0.003,-7,60,0.9918,3.07,0.64,6.8,1,8,3
3870,2,17.1,0.1,0.23,8.5,-0.448,-229,271,0.91918,3.92,-0.96,11.8,0,8,1
3883,2,16,-0.27,0.05,9,-0.437,136,113,0.99188,2.61,1.45,16.7,-1,7,1
3886,2,7.6,0.18,0.49,11.05,0.334,36,335,0.9996,3.06,0.33,14.5,0,8,1
3889,4,6.3,1.75,0.2,35.2,-0.506,48,632,1.00957,3.17,0.51,11.7,0,7,2
3894,1,6.3,0.42,0.25,6.5,-0.32,-420,329,0.99694,2.55,-0.82,10.6,-1,10,1
3907,2,-4.1,0.59,1.1,15,0.091,9,14,0.99488,4.64,1.68,9.9,0,8,1
3910,4,-10.3,1.46,0.25,8,-0.296,265,177,0.9961,3.22,-0.71,15,0,7,2
3913,2,6.1,0.6,3.11,59.3,0.071,14,45,0.97776,2.24,2.98,11,0,7,1
3914,2,11.5,0.37,0.19,79.9,0.068,93,474,0.9934,3.03,-1.29,10.8,0,7,1
3921,6,8.3,0.14,0.25,0.7,0.039,216,89,0.9919,2.51,0.43,10.4,2,5,2
3923,2,6,1.68,-1.44,2.6,0.037,134,389,0.99384,3.44,0.49,3.5,1,9,1
3929,2,7.3,-0.85,0.33,-12.65,-0.474,-202.5,195,1,3.06,0.44,9.1,-2,8,2
3931,2,-1.5,0.16,-0.78,6.7,0.395,54,775,0.95588,3.22,2,6.4,-2,6,2
3932,5,6.1,0.11,0.16,1.3,0.209,-124,126,0.99353,2.25,2.03,8.3,1,7,3
3937,2,14.1,0.37,0.41,2.3,-0.627,-213,285,1.01234,3.42,0.8,13.7,0,12,1
3943,2,10.3,0.28,0.1,22.7,0.042,14,-373,0.9922,3.34,1.78,16.7,1,10,1
3956,4,3.3,0.33,1.52,17.9,0.066,328,161,0.99592,3,0.51,8.8,1,7,2
3957,2,5.9,0.54,-0.88,0.8,0.032,12,-141,1.07905,3.45,0.36,8.8,0,6,1
3961,6,6.3,-1.04,0.24,53.1,0.039,25,107,0.99511,3.38,0.89,10.4,1,7,4
3971,2,15.6,0.21,-2.89,13.1,0.198,28,-118,0.9743,3.39,0.91,3.8,1,7,1
4004,1,21.1,-1.21,1.56,18.4,-0.394,-358,509,1.06195,3.86,1.87,-1.3,-1,10,1
4005,2,7.1,0.31,-0.29,11.2,-0.298,-183,-129,0.99663,4.1,0.6,10.4,1,8,1
4006,4,6.3,0.32,-0.32,-54.9,0.112,12,-158,0.9389,3.3,1.81,13.2,0,7,3
4011,2,1.5,0.12,0.69,54,0.038,122,170,0.99164,3.25,2.15,13.7,-1,6,1
4013,5,18.1,0.02,1.49,4.7,1.01,12,-49,1.00512,3.08,0.46,8,1,8,3
4014,7,-4.7,1.15,0.29,2.25,-0.385,8,210,0.9937,3.19,0.62,16.2,2,7,3
4016,3,10,0.69,-0.61,2,0.084,26,24,0.96903,2.88,1.16,15.8,-1,11,3
4017,5,-5.5,0.2,0.3,-39,0.046,38,356,0.96951,3.34,0.5,5,1,6,3
4020,2,5.6,0.19,0.87,35.3,0.033,4,261,0.96898,2.97,0.48,11.2,0,6,1
4022,4,6,0.32,0.44,33,0.557,267,189,1.00031,5.77,-0.43,12.1,0,7,2
4026,2,8.7,0.69,0.31,-61.1,0.478,23,114,1.02928,3.71,0.74,13.3,0,10,1
4032,1,2,0.47,1.31,8.9,0.18,199,172,1.01584,3.22,1.46,12.4,-1,8,1
4043,1,11.8,0.42,-0.69,134.2,0.503,42,215,0.9971,3.47,2.31,4.7,-1,8,1
4045,2,10.5,1.19,0.96,8.2,0.055,162,-219,0.99542,3.23,0.48,9.5,1,7,1
4048,5,6,-1.27,1.64,9.1,-0.223,35,127,0.99326,2.97,0.3,10,1,7,3
4051,5,18.6,0.2,0.44,-50.3,-0.216,-35,130,0.94691,3.11,0.29,10,1,8,3
4052,3,-9.8,0.15,-1.16,13.65,0.048,257,204,0.99784,3,0.6,7.1,0,8,2
4056,3,27.8,1.04,0,91.4,-0.128,34,-323,0.9976,3.62,0.68,9.6,-1,8,2
4059,2,10.6,1.025,0.43,2.8,0.618,101,-238,0.9784,3.06,1.46,6.3,0,12,1
4069,5,7.7,0.18,0.35,5.8,0.055,61,-184,0.99576,3.24,0.54,9.7,1,8,3
4074,4,5.9,0.37,1.01,10.9,0.033,-198,507,0.98113,3.36,0.56,12,0,7,2
4076,2,6.1,1.04,0.28,4.5,0.48,46,150,1.01904,3.43,1.06,8.1,0,7,1
4077,2,-3.6,0.25,0.23,16.8,0.047,20,77,1.02693,3.32,-1.08,6.3,-1,6,1
4079,2,10.6,0.94,1.75,2.3,-0.168,6,20,0.99676,3.14,0.72,17.8,0,12,1
4081,4,17.2,0.21,0.27,18.15,-0.321,91,158,0.9303,3.29,0.39,6.8,0,7,2
4088,2,6.8,0.24,0.33,-19.7,0.049,68,216,0.99324,3.1,1.91,7.7,0,7,1
4105,2,1.9,0.26,-0.25,13.6,0.05,-189,278,0.9921,2.14,1.23,15.3,1,8,1
4125,4,-3.3,0.72,0.3,4.7,0.041,40,148,0.9932,3.16,1.6,10.2,0,7,2
4134,3,6.5,0.22,0.4,-15.3,-0.371,-19,-514,1.04479,3.72,0.49,10.6,-1,7,2
4139,2,8.9,1.63,0.5,39.9,0.067,25,57,0.99557,3.24,1.36,11.8,0,10,1
4146,1,7.2,0.32,0.4,10.8,0.038,45,-173,1.02723,3.2,0.83,12.3,-1,8,1
4149,4,6.8,0.48,-0.16,3.4,0.035,-87,477,0.97064,2.39,0.47,1,0,7,3
4151,4,-0.3,2.66,0.5,2.7,0.122,4,194,1.0006,4.03,0.7,19,1,12,3
4155,2,6.8,1.05,0.41,19.9,0.083,59,143,0.99693,3.2,0.4,11.8,0,7,1
4157,2,9,0.26,0.34,6.7,0.029,311,-47,0.99497,2.71,0.5,10,1,10,1
4168,5,6.5,0.37,0.38,71.6,0.027,65,237,0.98926,3.24,0.62,10.1,1,7,3
4170,1,8.7,1.165,0.49,13,-0.305,44,214,0.96844,3.71,0.5,9.7,-1,8,1
4174,2,5.5,0.66,0.22,67.9,-0.22,10,-112,1.02752,3.46,0.44,5.9,-1,6,1
4179,5,6,0.27,-0.92,3.6,0.035,167,133,0.99215,3.6,1.76,10.8,1,7,3
4185,4,16.2,-0.85,0.77,14.2,-0.726,-163,212.5,0.999,3.14,3.73,3.6,0,8,3
4199,1,10.3,-2.52,0.47,1.3,0.039,241,123,0.9959,2.9,0.64,3.1,-1,10,1
4205,4,6.4,0.69,-0.53,-58.35,0.055,7,12,0.99162,3.47,0.53,12.9,0,7,2
4208,2,-0.3,-0.37,1.32,20.15,0.06,30,22,0.9732,1.32,0.53,10,1,8,1
4211,2,6.5,1.43,0.25,-27.1,0.238,15,110,1.01942,3.15,0.42,9.2,-2,7,2
4212,1,11.6,0.41,0.54,39.7,0.057,22,-2,0.96011,3.32,0.76,6.9,-1,13,1
4215,2,2.9,0.21,-1.29,-55,0.047,60,189,1.00344,2.84,0.98,10.1,0,6,1
4217,3,-13.9,0.33,0.3,29.7,0.534,35,147,1.0133,3.24,0.56,13.4,-1,7,2
4219,4,6.7,0.17,-0.09,-36.5,0.032,39,423,0.99337,2.73,0.52,10.5,0,7,2
4226,4,8.9,0.66,1.04,5,0.04,18,-374,1.01741,3.06,0.48,10.6,0,8,3
4227,3,6.5,0.18,0.41,14.2,0.039,35,129,0.89474,3.28,0.4,10.3,-1,7,2
4229,2,7.7,0.91,0.45,-42.7,-0.505,52,205,1.01743,2.62,-2.93,11.3,-1,7,1
4231,2,14.3,1.24,0.58,-60.1,-0.075,160,238,0.9978,4.06,-0.79,11,0,11,1
4233,3,6,0.26,2.05,2.2,0.048,-155,171,0.88975,2.52,0.61,4.2,-1,7,2
4237,2,0.2,0.41,-0.54,34.9,0.597,19,-710,1.01168,3.25,0.69,10.4,0,8,1
4243,4,13,0.26,-0.61,4.6,0.027,29,92,0.99085,3.15,-0.19,9.5,1,8,2
4248,4,15.7,0.31,0.34,61.8,0.037,45,463,1.00997,3.95,-1.19,13.2,0,7,3
4255,5,2.2,0.9,-0.75,52.5,-0.521,33,67,0.98924,3.21,-0.17,17.9,1,7,3
4262,2,4.9,0.25,0.41,46.5,0.043,126,497,0.96821,3.15,1.46,10.2,-1,7,1
4266,1,6.8,0.67,-0.55,-50.5,0.418,302,193,0.9984,3.08,0.67,5.4,-1,8,1
4268,2,7,0.25,1.31,57.2,-0.331,25,94,1.02959,4.57,1.4,9.2,1,7,1
4270,1,-2.7,-1.52,0.55,-40,0.402,290,85,0.95296,2.93,0.45,15.4,-1,8,1
4273,2,-4.3,0.06,0.32,42.6,0.052,284,118,0.99657,3.18,-1.21,7.9,1,7,1
4276,4,16.9,-0.18,0.35,6.7,0.039,202,-33,1.00013,1.68,0.81,15.1,1,9,2
4277,4,18.5,0.75,0.01,58.1,0.657,119,228,0.9955,3.55,2.12,12.8,0,7,2
4279,1,11.7,0.35,0.48,24.3,0.058,-258,44,0.99534,4.21,0.2,13,-1,8,1
4299,4,5.6,0.3,0.04,64.2,0.551,-36,-769,0.9906,3.28,-0.99,12.7,0,6,2
4313,2,7.8,0.15,1.18,38.4,0.518,204,93,0.96408,1.94,0.72,11.3,1,8,1
4322,4,6.2,0.36,1.24,-32.4,0.047,41,-549,0.99711,3.31,0.56,9.5,0,7,3
4324,2,13,0.23,0.25,17.3,0.182,30,110,0.99828,2.82,1,9.2,0,7,1
4328,3,8.2,-0.31,1.07,-21.4,0.04,41,92,1.04165,2.26,0.6,9.7,-1,9,2
4331,2,6.6,0.34,0.27,29.2,0.059,23,136,0.9957,3.59,1.14,5.4,0,7,1
4335,1,8.2,1.1,0.09,-7,-0.617,7,37,0.99685,3.32,0.55,12.2,-1,9,1
4337,3,7.4,0.26,0.31,7.35,0.034,37,485,0.9938,2.27,0.31,15,0,9,2
4338,1,6.9,0.58,1.94,43.8,0.493,121,104,0.99317,2.99,0.39,9.5,-1,8,1
4343,1,9.9,0.35,-0.53,-24.4,0.083,11,188,0.9982,3.21,0.5,6.2,-1,11,1
4347,1,11,1.7,0.3,8.4,0.051,40,250,0.98562,4.26,0.62,9.7,-2,8,1
4355,4,-5.4,1.02,-0.48,15.8,0.302,-124,167,0.95975,2.97,0.51,9.2,0,7,2
4357,2,5.3,0.85,0.29,1.9,0.423,4,55,0.9908,2.91,0.32,14.8,0,9,1
4359,6,6.6,0.44,-0.53,7.5,-0.491,13,152,1.07328,3.1,0.63,18.9,1,7,4
4362,1,-7.8,0.26,3.06,1,0.04,-166,405,0.9924,3.31,1.43,9.8,-2,7,1
4368,2,7.3,-0.4,0.4,55.8,0.046,45,518,0.99583,3.23,0.92,13.7,-1,7,1
4374,5,2.9,1.46,0.37,32.9,-0.422,3,421,0.98964,3.25,-2.93,12.4,1,7,3
4375,5,2.5,-0.37,0.55,-12.8,0.053,303,335,0.97421,2.93,0.44,11.4,1,8,3
4378,3,7,0.61,0.51,1.7,0.051,-370,473,0.9946,3.24,1.04,4.4,0,8,2
4381,4,5.9,0.18,1.91,-51.6,-0.272,119,-260,0.99159,2.43,0.38,18.3,0,6,2
4387,4,14.5,0.31,0.42,6.9,0.671,50,481,0.99551,3.1,0.46,9,1,8,2
4400,1,5,0.22,-1.33,-42.2,-0.097,-73,185,0.9933,3.03,0.41,14.9,-1,9,1
4423,4,2.6,0.54,0.28,7.5,0.077,11,-145,0.9978,2.46,0.61,10,1,9,2
4424,2,-0.3,0.31,3.14,44.1,0.39,15,87,0.99152,3.11,-1.14,13,0,8,1
4428,4,6.9,0.82,0.52,5,-0.199,52,497,0.9657,3.55,-0.01,9.6,0,8,3
4433,7,-4.6,-1.02,0.3,-30.9,0.047,36,336,0.98015,3.26,-0.61,10.4,2,6,3
4436,3,13.6,-0.61,0.29,-46.8,0.262,154,311,1.02909,4.28,2.17,15.8,-1,6,2
4437,4,6.4,0.55,0.32,-23.95,0.047,-275,-202,1.01733,4.03,0.6,9.2,0,7,2
4439,6,5.5,0.48,0.28,61.4,-0.166,31,126,1.02659,2.46,-1.19,16.2,1,7,4
4449,3,7.1,0.44,0.27,28.4,0.007,252,223,0.99257,3.78,0.36,16.8,0,8,2
4456,3,20.7,1.11,0.74,12.5,0.037,37,-51,1.01617,3.04,0.97,14.5,0,8,2
4463,5,9.5,0.13,-1.19,5.4,-0.219,15,118,0.9954,3.27,0.34,9.6,1,9,4
4467,1,16.3,0.26,-1.5,-61.1,0.041,258,153,0.98978,2.22,2.18,9,-1,8,1
4468,2,5.1,0.06,-2.41,11.6,0.243,40,78,1.02412,4.04,0.64,2.5,0,6,1
4469,2,7.5,0.33,0.36,2.6,0.25,-16,45,0.99097,3.32,0.53,12.7,0,8,1
4472,4,6.9,-1.15,-1.05,-46.5,0.042,36,450,0.94333,2.14,0.69,2.8,0,7,2
4473,4,5.7,1.54,-0.97,6.3,0.043,28,113,0.9936,3.06,2.02,6.3,0,6,3
4476,2,6.5,0.47,0.41,72.3,-0.007,200,-290,1.04822,5,0.72,8.3,0,7,1
4500,2,6,-2.44,-0.86,3.6,0.083,36,133,0.94806,3.27,1.19,10.8,-1,7,1
4509,4,3,-1.19,0.3,7.2,-0.529,247,105,0.98963,2.78,0.58,12.75,0,6,2
4513,1,7.7,0.27,1.3,11.2,-0.549,341,179,1.01141,3.48,1.98,8.9,-1,9,1
4521,2,0.8,2.035,-0.41,-88.3,0.045,-11,-36,1.00563,4.31,0.54,15.8,0,7,1
